gnat,Ada 2005 GNAT,<strong>Ada</strong>&nbsp;2005&nbsp;GNAT,large-scale safety-critical software,1,gcc,ada,
cint,C CINT,<strong>C</strong>&nbsp;CINT,seamless c c++ interpreter compiler,0,gcc,,
gcc,C gcc,<strong>C</strong>&nbsp;gcc,unchecked low-level programming,1,gpp,c,
clojure,Clojure,<strong>Clojure</strong>,,0,java,clojure,
csharp,C# Mono,<strong>C#</strong>&nbsp;Mono,oo plus functional style (mono is not ms .net),1,java,csharp,
gpp,C++ g++,<strong>C++</strong>&nbsp;g++,c plus objects plus generics,0,gcc,cpp,
dart,Dart,<strong>Dart</strong>,structured web app engineering,1,java,dart,
erlang,Erlang,Erlang,concurrent real-time distributed fault-tolerant software,0,hipe,,
hipe,Erlang HiPE,<strong>Erlang</strong>&nbsp;HiPE,concurrent real-time distributed fault-tolerant software,1,java,erlang,
fsharp,F# Mono,<strong>F#</strong>&nbsp;Mono,higher-order type-safe programming (mono is not ms .net),0,ocaml,fsharp,
fsc,F#,<strong>F#</strong>,higher-order type-safe programming,0,java,,
ifc,Fortran Intel,<strong>Fortran</strong>&nbsp;Intel,pioneering numeric and scientific programming,0,gcc,fortran,
go,Go,<strong>Go</strong>,types just are - Go is an experiment,0,java,go,
ghc,Haskell GHC,<strong>Haskell</strong>&nbsp;GHC,lazy pure functional programming,1,java,haskell,
hack,Hack,<strong>Hack</strong>,productivity without breaking things,1,php,hack,
java,Java,<strong>Java</strong>&nbsp;,ubiquitous jit server virtual machine,1,gcc,java,
v8,JavaScript V8,<strong>JavaScript</strong>&nbsp;V8,web-browser embedded scripting,1,java,javascript,
sbcl,Lisp SBCL,<strong>Lisp</strong>&nbsp;SBCL,pioneering s-expression oriented programming,1,java,lisp,
lua,Lua,<strong>Lua</strong>,associative arrays for extensible embedded scripting,1,java,lua,
ocaml,OCaml,<strong>OCaml</strong>,modular type-safe strict functional programming plus objects,0,ghc,ocaml,
fpascal,Pascal Free Pascal,<strong>Pascal</strong>&nbsp;Free&nbsp;Pascal,imperative programming plus objects,0,java,pascal,
perl,Perl,<strong>Perl</strong>,server-side shell &amp; cgi scripts,1,python3,perl,
php,PHP,<strong>PHP</strong>,scripts embedded in html and much more,1,python3,php,
python3,Python 3,<strong>Python&nbsp;3</strong>,the new Python,1,java,python,
racket,Racket,<strong>Racket</strong>,statically-scoped properly tail-recursive dialect of lisp,0,sbcl,racket,
yarv,Ruby,<strong>Ruby</strong>,the new Ruby,1,python3,ruby,
jruby,Ruby JRuby,Ruby&nbsp;JRuby,everything is an object scripting for jvm,1,yarv,jruby,
rust,Rust,<strong>Rust</strong>,large-system integrity availability and concurrency,0,gcc,rust,
scala,Scala,<strong>Scala</strong>,higher-order type-safe programming for jvm,0,java,scala,
typescript,TypeScript Node.js,<strong>TypeScript</strong>&nbsp;Node.js,write JavaScript the way you really want to,1,dart,typescript,
vw,Smalltalk VW,<strong>Smalltalk</strong>&nbsp;VW,uniform reflective environment - real live objects,1,java,smalltalk,
swift,Swift,<strong>Swift</strong>,a modern approach to safety performance and software design patterns,1,java,swift,
shortest,Shortest C++,Shortest C++,,0,gpp,,
